Invoice No,Customer,Invoice Date,Due Date,Terms,Item (Product/Service),Item Description,Item Quantity,Item Rate,Item Amount,Memo,Note
CDEF-ECO-0506-01,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Ecoreal, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Ecoreal, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-ECO-0506-01,,,,,Business Operations and Project Management,"Project Planning, Administration, Operations and Management",0,250,0,,
CDEF-ECO-0506-01,,,,,"Administrative, Finance and Compliance","Operational Bookkeeping, Basic Accounting and Budgeting",0,250,0,,
CDEF-ECO-0506-01,,,,,"Administrative, Finance and Compliance",QuickBooks Online Training,0,250,0,,
CDEF-ECO-0506-01,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-ECO-0506-01,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),0,250,0,,
CDEF-ECO-0506-01,,,,,Marketing and Strategic Communications,Marketing Strategy Development,0,250,0,,
CDEF-ECO-0506-01,,,,,Marketing and Strategic Communications,Website Redevelopment,0,250,0,,
CDEF-ECO-0506-01,,,,,Marketing and Strategic Communications,Social Media Strategy (Incl. Digital Marketing),0,250,0,,
CDEF-ECO-0506-01,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,0,275,0,,
CDEF-ECO-0506-01,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-ECO-0506-01,,,,,Process Improvement/Computer Training,Productivity Software Selection Guidance,0,275,0,,
CDEF-ECO-0506-01,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-AWC-0506-02,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: A. Williams Construction, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: A. Williams Construction, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-AWC-0506-02,,,,,Standard Operating Procedures,RFP/RFQ Process Development,0,275,0,,
CDEF-AWC-0506-02,,,,,"Administrative, Finance and Compliance","Operational Bookkeeping, Basic Accounting, Budgeting and  Cost Control",0,250,0,,
CDEF-AWC-0506-02,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,0,250,0,,
CDEF-AWC-0506-02,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-AWC-0506-02,,,,,Marketing and Strategic Communications,Professional Website Assessment and Redevelopment,0,250,0,,
CDEF-AWC-0506-02,,,,,Marketing and Strategic Communications,Capability Statement Development,0,250,0,,
CDEF-AWC-0506-02,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,0,275,0,,
CDEF-AWC-0506-02,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-AWC-0506-02,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-EES-0506-03,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Elise Energy Solutions
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Elise Energy Solutions
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-EES-0506-03,,,,,Business Operations and Project Management,"Project Planning, Operations and Management",0,250,0,,
CDEF-EES-0506-03,,,,,Business Operations and Project Management,Capacity/Resource Planning,0,250,0,,
CDEF-EES-0506-03,,,,,Standard Operating Procedures,RFP/RFQ Process Development,0,250,0,,
CDEF-EES-0506-03,,,,,Succession Planning,Succession Planning and Delegation Playbook,0,275,0,,
CDEF-EES-0506-03,,,,,"Administrative, Finance and Compliance","Operational Bookkeeping, Basic Accounting, Budgeting and  Cost Control",0,250,0,,
CDEF-EES-0506-03,,,,,"Administrative, Finance and Compliance",Bonding Strategy Playbook,0,250,0,,
CDEF-EES-0506-03,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-EES-0506-03,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),0,250,0,,
CDEF-EES-0506-03,,,,,Marketing and Strategic Communications,Professional Website Redevelopment,0,250,0,,
CDEF-EES-0506-03,,,,,Marketing and Strategic Communications,Capability Statement Development,0,250,0,,
CDEF-EES-0506-03,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-EES-0506-03,,,,,Process Improvement/Computer Training,Productivity Software Selection Guidance,0,275,0,,
CDEF-EES-0506-03,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-FTL-0506-04,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Foster Trees. LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Foster Trees. LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-FTL-0506-04,,,,,Business Operations and Project Management,"Project Planning, Operations and Resource/Capacity Management",0,250,0,,
CDEF-FTL-0506-04,,,,,Business Operations and Project Management,"Understanding Bid, Compliance Requirements and PLAs",0,250,0,,
CDEF-FTL-0506-04,,,,,Standard Operating Procedures,RFP/RFQ Process Development,0,275,0,,
CDEF-FTL-0506-04,,,,,Succession Planning,Succession Planning Playbook and Strategy Development,0,275,0,,
CDEF-FTL-0506-04,,,,,Succession Planning,Business Continuity Process Design and Documentation,0,275,0,,
CDEF-FTL-0506-04,,,,,"Administrative, Finance and Compliance","Operational Accounting, Budgeting and  Cost Control",0,250,0,,
CDEF-FTL-0506-04,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,0,250,0,,
